Model,n,Variable,Estimate,Standard Error,DF,t-value,p-value,Adjusted p-value
Paraplegia: AIS A,1132,Intercept,66.869,1.486,1130.797,44.989,0.000,0.000
,,Age,1.123,2.519,1127.698,0.446,0.656,
,,Time since injury,2.399,0.236,2466.105,10.171,0.000,0.000
,,Sex,-1.754,1.238,1127.680,-1.417,0.157,
Paraplegia: AIS B,284,Intercept,90.397,2.391,284.583,37.811,0.000,0.000
,,Age,0.317,4.107,281.355,0.077,0.939,
,,Time since injury,2.804,0.620,624.871,4.522,0.000,0.000
,,Sex,-2.130,1.993,279.982,-1.069,0.286,
Paraplegia: AIS C,361,Intercept,96.196,1.651,363.560,58.269,0.000,0.000
,,Age,-3.258,2.616,355.907,-1.246,0.214,
,,Time since injury,4.437,0.651,800.439,6.815,0.000,0.000
,,Sex,-0.382,1.293,352.483,-0.295,0.768,
Paraplegia: AIS D,496,Intercept,102.348,1.217,503.775,84.072,0.000,0.000
,,Age,-6.158,1.874,497.461,-3.287,0.001,0.009
,,Time since injury,2.479,0.501,877.887,4.946,0.000,0.000
,,Sex,1.066,0.900,485.776,1.185,0.237,
Tetraplegia: AIS A,793,Intercept,27.224,2.055,794.933,13.251,0.000,0.000
,,Age,12.564,2.888,779.717,4.351,0.000,0.000
,,Time since injury,10.981,0.751,1791.548,14.632,0.000,0.000
,,Sex,-0.695,1.640,768.713,-0.423,0.672,
Tetraplegia: AIS B,292,Intercept,64.781,3.771,293.683,17.179,0.000,0.000
,,Age,-1.847,5.898,291.434,-0.313,0.754,
,,Time since injury,13.228,1.454,686.916,9.100,0.000,0.000
,,Sex,-1.336,2.998,287.324,-0.446,0.656,
Tetraplegia: AIS C,545,Intercept,75.722,2.686,532.794,28.192,0.000,0.000
,,Age,-0.687,3.717,524.787,-0.185,0.853,
,,Time since injury,10.949,1.118,1192.353,9.795,0.000,0.000
,,Sex,-0.611,1.907,524.670,-0.320,0.749,
Tetraplegia: AIS D,949,Intercept,88.999,2.052,984.712,43.372,0.000,0.000
,,Age,2.682,2.787,964.887,0.962,0.336,
,,Time since injury,3.576,0.788,1890.217,4.538,0.000,0.000
,,Sex,0.105,1.352,954.458,0.077,0.938,
