Model,n,Variable,Estimate,Standard Error,DF,t-value,p-value,Adjusted p-value
Paraplegia: AIS A,1132,Intercept,52.503,0.882,1124.158,59.505,0.000,0.000
,,Age,0.452,1.495,1118.578,0.302,0.763,
,,Time since injury,2.503,0.190,2487.113,13.168,0.000,0.000
,,Sex,0.712,0.734,1118.619,0.970,0.332,
Paraplegia: AIS B,285,Intercept,60.779,2.161,279.556,28.125,0.000,0.000
,,Age,-0.115,3.698,273.888,-0.031,0.975,
,,Time since injury,13.609,0.774,634.241,17.579,0.000,0.000
,,Sex,-1.684,1.788,272.080,-0.942,0.347,
Paraplegia: AIS C,361,Intercept,68.324,1.537,373.896,44.448,0.000,0.000
,,Age,-4.419,2.404,360.151,-1.838,0.067,
,,Time since injury,20.105,0.809,846.053,24.848,0.000,0.000
,,Sex,-0.499,1.197,354.491,-0.417,0.677,
Paraplegia: AIS D,499,Intercept,91.670,0.942,484.828,97.351,0.000,0.000
,,Age,-5.653,1.452,467.131,-3.894,0.000,0.001
,,Time since injury,8.527,0.508,928.861,16.776,0.000,0.000
,,Sex,-0.454,0.694,453.389,-0.654,0.513,
Tetraplegia: AIS A,793,Intercept,19.157,2.068,786.611,9.265,0.000,0.000
,,Age,6.649,2.923,779.580,2.275,0.023,
,,Time since injury,11.626,0.516,1723.732,22.553,0.000,0.000
,,Sex,-0.936,1.658,774.876,-0.565,0.572,
Tetraplegia: AIS B,293,Intercept,25.638,3.210,301.207,7.988,0.000,0.000
,,Age,-5.603,4.988,297.539,-1.123,0.262,
,,Time since injury,27.892,1.452,707.760,19.213,0.000,0.000
,,Sex,-0.321,2.554,291.535,-0.126,0.900,
Tetraplegia: AIS C,547,Intercept,46.661,2.342,584.275,19.922,0.000,0.000
,,Age,-14.781,3.230,570.354,-4.576,0.000,0.000
,,Time since injury,38.050,1.228,1285.465,30.975,0.000,0.000
,,Sex,0.214,1.659,571.121,0.129,0.898,
Tetraplegia: AIS D,942,Intercept,80.154,1.451,964.836,55.251,0.000,0.000
,,Age,-8.686,1.969,938.307,-4.412,0.000,0.000
,,Time since injury,19.550,0.641,1930.262,30.512,0.000,0.000
,,Sex,-0.323,0.954,927.800,-0.339,0.735,
