Model,n,Variable,Estimate,Standard Error,DF,t-value,p-value,Adjusted p-value
Paraplegia: AIS A,1133,Intercept,65.925,1.455,1131.793,45.306,0.000,0.000
,,Age,-1.517,2.467,1128.370,-0.615,0.539,
,,Time since injury,1.579,0.239,2464.136,6.599,0.000,0.000
,,Sex,-1.837,1.211,1128.752,-1.517,0.130,
Paraplegia: AIS B,284,Intercept,85.304,3.005,284.365,28.389,0.000,0.000
,,Age,-9.096,5.161,281.063,-1.762,0.079,
,,Time since injury,3.003,0.788,625.839,3.812,0.000,0.001
,,Sex,-1.261,2.504,279.631,-0.504,0.615,
Paraplegia: AIS C,359,Intercept,94.404,2.208,352.710,42.761,0.000,0.000
,,Age,-11.102,3.507,346.679,-3.166,0.002,0.014
,,Time since injury,4.778,0.748,779.322,6.386,0.000,0.000
,,Sex,-1.489,1.731,344.920,-0.860,0.390,
Paraplegia: AIS D,495,Intercept,104.431,1.828,506.156,57.121,0.000,0.000
,,Age,-19.470,2.815,501.137,-6.916,0.000,0.000
,,Time since injury,3.088,0.687,862.083,4.494,0.000,0.000
,,Sex,-0.035,1.354,491.270,-0.026,0.980,
Tetraplegia: AIS A,792,Intercept,25.109,1.776,768.446,14.141,0.000,0.000
,,Age,5.480,2.497,753.356,2.195,0.029,
,,Time since injury,5.261,0.642,1759.929,8.197,0.000,0.000
,,Sex,-1.587,1.417,743.502,-1.120,0.263,
Tetraplegia: AIS B,292,Intercept,50.872,4.241,299.524,11.996,0.000,0.000
,,Age,-11.118,6.637,297.802,-1.675,0.095,
,,Time since injury,14.432,1.707,693.743,8.453,0.000,0.000
,,Sex,-8.010,3.368,292.065,-2.378,0.018,
Tetraplegia: AIS C,544,Intercept,65.782,3.665,540.110,17.947,0.000,0.000
,,Age,-11.665,5.066,533.161,-2.303,0.022,
,,Time since injury,13.565,1.397,1179.405,9.710,0.000,0.000
,,Sex,-2.823,2.606,532.931,-1.083,0.279,
Tetraplegia: AIS D,948,Intercept,84.290,2.850,982.188,29.573,0.000,0.000
,,Age,-7.609,3.874,964.946,-1.964,0.050,
,,Time since injury,6.724,1.028,1861.822,6.544,0.000,0.000
,,Sex,-0.529,1.879,955.132,-0.282,0.778,
