Model,n,Variable,Estimate,Standard Error,DF,t-value,p-value,Adjusted p-value
Paraplegia: AIS A,1112,Intercept,0.784,0.281,1133.978,2.795,0.005,0.042
,,Age,-0.919,0.473,1100.499,-1.946,0.052,
,,Time since injury,2.021,0.132,2547.520,15.334,0.000,0.000
,,Sex,0.113,0.233,1101.766,0.484,0.628,
Paraplegia: AIS B,279,Intercept,2.244,0.764,273.438,2.938,0.004,0.029
,,Age,-1.808,1.309,260.553,-1.381,0.168,
,,Time since injury,7.697,0.416,619.308,18.523,0.000,0.000
,,Sex,-0.101,0.626,255.592,-0.161,0.872,
Paraplegia: AIS C,357,Intercept,5.413,0.678,385.962,7.983,0.000,0.000
,,Age,-7.249,1.045,352.316,-6.934,0.000,0.000
,,Time since injury,11.852,0.475,848.450,24.938,0.000,0.000
,,Sex,-0.398,0.519,343.661,-0.766,0.444,
Paraplegia: AIS D,477,Intercept,11.957,0.810,463.369,14.771,0.000,0.000
,,Age,-8.983,1.215,434.273,-7.392,0.000,0.000
,,Time since injury,11.929,0.519,893.123,22.996,0.000,0.000
,,Sex,0.227,0.583,417.855,0.390,0.697,
Tetraplegia: AIS A,787,Intercept,-0.002,0.172,869.784,-0.014,0.989,
,,Age,0.170,0.240,834.262,0.710,0.478,
,,Time since injury,0.820,0.102,1960.625,8.020,0.000,0.000
,,Sex,-0.037,0.135,809.607,-0.275,0.784,
Tetraplegia: AIS B,286,Intercept,0.646,0.501,347.431,1.291,0.198,
,,Age,-1.213,0.770,334.636,-1.576,0.116,
,,Time since injury,4.231,0.352,769.486,12.032,0.000,0.000
,,Sex,-0.326,0.393,324.951,-0.831,0.407,
Tetraplegia: AIS C,532,Intercept,4.269,0.598,593.034,7.140,0.000,0.000
,,Age,-6.750,0.818,566.344,-8.252,0.000,0.000
,,Time since injury,9.721,0.380,1320.253,25.617,0.000,0.000
,,Sex,0.433,0.421,561.326,1.030,0.304,
Tetraplegia: AIS D,903,Intercept,11.638,0.707,897.599,16.468,0.000,0.000
,,Age,-8.378,0.956,860.019,-8.766,0.000,0.000
,,Time since injury,12.937,0.406,1917.778,31.899,0.000,0.000
,,Sex,0.432,0.462,845.977,0.934,0.350,
