"Model","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"Female: Paraplegia: AIS A","Intercept",0.6431,0.535,286.7007,1.2021,0.2303,3.6852
"","Age",-1.2827,0.7976,227.082,-1.6081,0.1092,1.7472
"","Time",0.4336,0.627,448.0159,0.6915,0.4896,7.8338
"","YEARDOI",0.5035,0.7254,321.461,0.6941,0.4881,7.8103
"","Time*YEARDOI",2.0172,1.0866,463.4268,1.8565,0.064,1.0243
"Female: Paraplegia: AIS B","Intercept",3.1648,1.3792,127.4296,2.2947,0.0234,0.3742
"","Age",-1.8959,2.1309,107.634,-0.8897,0.3756,6.0096
"","Time",1.801,2.0004,129.6904,0.9003,0.3696,5.9139
"","YEARDOI",-1.8963,1.6887,135.4671,-1.1229,0.2634,4.2152
"","Time*YEARDOI",4.4665,3.4219,122.4653,1.3053,0.1942,3.1078
"Female: Paraplegia: AIS C","Intercept",3.2305,0.9859,185.8684,3.2767,0.0013,0.02
"","Age",-2.2199,1.2746,133.5584,-1.7417,0.0839,1.3418
"","Time",10.5626,1.6834,235.8909,6.2746,0,0
"","YEARDOI",-2.6201,1.2598,196.8753,-2.0798,0.0388,0.6215
"","Time*YEARDOI",-6.756,2.6748,229.9202,-2.5258,0.0122,0.1955
"Female: Paraplegia: AIS D","Intercept",10.7618,1.4935,288.2575,7.2058,0,0
"","Age",-8.9718,1.8501,209.0238,-4.8494,0,0
"","Time",10.2334,1.602,341.6664,6.388,0,0
"","YEARDOI",0.9577,1.9137,331.6131,0.5004,0.6171,9.8737
"","Time*YEARDOI",-1.5804,2.8532,379.5395,-0.5539,0.58,9.2796
"Female: Tetraplegia: AIS A","Intercept",-0.1619,0.3128,175.6571,-0.5177,0.6053,9.6856
"","Age",0.0343,0.4613,174.4715,0.0744,0.9408,15.0528
"","Time",-0.068,0.0822,249.5304,-0.8277,0.4086,6.5381
"","YEARDOI",0.4879,0.3897,177.3665,1.252,0.2122,3.3954
"","Time*YEARDOI",0.2684,0.1717,251.4681,1.5636,0.1192,1.9065
"Female: Tetraplegia: AIS C","Intercept",0.2805,0.3268,203.1412,0.8583,0.3918,6.268
"","Age",-0.5153,0.402,147.494,-1.282,0.2018,3.2295
"","Time",0.6999,0.5592,272.0151,1.2516,0.2118,3.3886
"","YEARDOI",0.1089,0.3934,231.6871,0.277,0.7821,12.513
"","Time*YEARDOI",0.2014,0.9526,272.8576,0.2114,0.8327,13.3231
"Female: Tetraplegia: AIS D","Intercept",11.2469,1.3959,387.6501,8.0568,0,0
"","Age",-9.8682,1.67,297.0611,-5.9091,0,0
