Model,Variable,Estimate,Standard Error,DF,t-value,p-value,Adjusted p-value
Female: Paraplegia: AIS D,Intercept,239.600,41.766,186.439,5.737,0.000,0.000
,Age,-173.758,59.287,133.925,-2.931,0.004,0.016
,Time since injury,156.407,37.770,140.194,4.141,0.000,0.000
,YEARDOI,90.557,53.869,210.745,1.681,0.094,
,Time since injury*YEARDOI,22.138,71.967,168.570,0.308,0.759,
Female: Tetraplegia: AIS D,Intercept,345.892,43.163,194.283,8.014,0.000,0.000
,Age,-148.751,55.563,144.428,-2.677,0.008,0.033
,Time since injury,73.905,41.881,154.424,1.765,0.080,
,YEARDOI,-5.451,52.127,232.705,-0.105,0.917,
,Time since injury*YEARDOI,23.222,68.111,167.261,0.341,0.734,
Male: Paraplegia: AIS D,Intercept,352.065,27.235,541.639,12.927,0.000,0.000
,Age,-252.137,42.196,390.233,-5.975,0.000,0.000
,Time since injury,172.702,26.698,396.019,6.469,0.000,0.000
,YEARDOI,17.579,36.383,637.905,0.483,0.629,
,Time since injury*YEARDOI,-42.958,47.237,453.176,-0.909,0.364,
Male: Tetraplegia: AIS D,Intercept,347.090,22.910,793.798,15.150,0.000,0.000
,Age,-102.609,33.451,609.494,-3.067,0.002,0.009
,Time since injury,130.570,20.293,714.736,6.434,0.000,0.000
,YEARDOI,-63.151,29.718,953.272,-2.125,0.034,0.135
,Time since injury*YEARDOI,0.632,35.968,773.302,0.018,0.986,
