"Model","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"Female: Paraplegia: AIS A","Intercept",50.6156,3.1257,102.4139,16.1936,0,0
"","Age",-1.6927,5.7438,91.9652,-0.2947,0.7689,12.3022
"","Time",2.8863,2.6391,102.8582,1.0937,0.2767,4.4264
"","YEARDOI",11.3734,4.6381,107.6564,2.4522,0.0158,0.2529
"","Time*YEARDOI",-3.3782,5.7338,111.5259,-0.5892,0.5569,8.911
"Female: Paraplegia: AIS B","Intercept",54.7101,5.9547,63.9576,9.1878,0,0
"","Age",14.9102,10.5924,60.7168,1.4076,0.1643,2.6294
"","Time",7.8367,3.4029,33.1244,2.303,0.0277,0.4432
"","YEARDOI",9.5693,7.1756,64.7438,1.3336,0.187,2.9922
"","Time*YEARDOI",-2.9734,5.7486,32.992,-0.5172,0.6084,9.7351
"Female: Paraplegia: AIS C","Intercept",62.9213,2.649,104.3879,23.753,0,0
"","Age",2.6586,3.724,82.5215,0.7139,0.4773,7.6367
"","Time",5.5744,3.3308,94.6756,1.6736,0.0975,1.5603
"","YEARDOI",0.6381,3.5257,103.5236,0.181,0.8567,13.7077
"","Time*YEARDOI",3.371,5.9052,80.2212,0.5708,0.5697,9.1152
"Female: Paraplegia: AIS D","Intercept",82.1119,2.0921,178.343,39.2477,0,0
"","Age",-2.3205,2.7975,130.5271,-0.8295,0.4083,6.5334
"","Time",7.3222,2.0734,180.9966,3.5315,5e-04,0.0084
"","YEARDOI",11.0117,2.8134,202.1407,3.914,1e-04,0.002
"","Time*YEARDOI",-3.9238,4.1669,193.1539,-0.9417,0.3475,5.5607
"Male: Paraplegia: AIS A","Intercept",54.3983,2.0351,320.7176,26.7301,0,0
"","Age",-0.1679,4.0471,315.8441,-0.0415,0.9669,15.4711
"","Time",3.1422,0.8672,312.9531,3.6236,3e-04,0.0054
"","YEARDOI",4.8595,2.8847,330.5827,1.6846,0.093,1.4882
"","Time*YEARDOI",0.0045,1.7986,320.4164,0.0025,0.998,15.9679
"Male: Paraplegia: AIS B","Intercept",54.4029,3.1848,184.4078,17.082,0,0
"","Age",3.9081,5.5047,168.8247,0.71,0.4787,7.6593
"","Time",6.7617,2.0952,92.8296,3.2273,0.0017,0.0276
"","YEARDOI",13.0639,4.3868,186.0303,2.978,0.0033,0.0526
"","Time*YEARDOI",-1.3376,3.7435,92.1821,-0.3573,0.7217,11.5469
"Male: Paraplegia: AIS C","Intercept",64.9322,1.5891,260.9002,40.8613,0,0
"","Age",-1.8678,2.6672,214.8156,-0.7003,0.4845,7.752
"","Time",5.7452,1.7361,196.7926,3.3093,0.0011,0.0178
"","YEARDOI",-2.5164,2.1521,277.3697,-1.1693,0.2433,3.8926
"","Time*YEARDOI",6.2358,3.326,186.5161,1.8748,0.0624,0.9981
"Male: Paraplegia: AIS D","Intercept",86.8935,1.2102,460.416,71.8028,0,0
"","Age",-2.9929,1.893,378.4634,-1.5811,0.1147,1.8352
"","Time",6.3759,1.1872,418.0737,5.3703,0,0
"","YEARDOI",3.4704,1.6289,530.3615,2.1306,0.0336,0.5373
"","Time*YEARDOI",0.7027,2.0808,453.0316,0.3377,0.7358,11.7721
