"Model","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"Female: Paraplegia: AIS A","Intercept",69.3539,2.799,257.0673,24.7783,0,0
"","Age",-6.7553,4.4055,250.6437,-1.5334,0.1264,2.023
"","Time",-0.0055,1.0917,413.4872,-0.0051,0.996,15.9353
"","YEARDOI",-2.9182,3.6852,260.4643,-0.7919,0.4292,6.8665
"","Time*YEARDOI",1.8914,1.9213,415.3693,0.9844,0.3255,5.2077
"Female: Paraplegia: AIS B","Intercept",92.8078,4.6625,116.4438,19.9052,0,0
"","Age",-11.7508,7.7469,111.1067,-1.5169,0.1321,2.1143
"","Time",0.0784,3.1699,74.5056,0.0247,0.9803,15.6853
"","YEARDOI",-12.8137,5.6749,118.9911,-2.258,0.0258,0.4123
"","Time*YEARDOI",2.406,5.32,73.3847,0.4523,0.6524,10.4387
"Female: Paraplegia: AIS C","Intercept",101.4836,3.6828,173.2871,27.5563,0,0
"","Age",-10.9021,5.2944,143.0239,-2.0592,0.0413,0.6607
"","Time",-3.8192,4.0675,151.3483,-0.939,0.3493,5.588
"","YEARDOI",-18.0492,4.6986,176.308,-3.8414,2e-04,0.0027
"","Time*YEARDOI",7.901,6.5216,145.6733,1.2115,0.2277,3.6426
"Female: Paraplegia: AIS D","Intercept",105.9839,2.9349,269.2595,36.1119,0,0
"","Age",-11.1566,3.8727,234.618,-2.8808,0.0043,0.0693
"","Time",-2.6158,1.9954,334.9544,-1.3109,0.1908,3.0525
"","YEARDOI",-10.5752,3.6134,295.1362,-2.9267,0.0037,0.0591
"","Time*YEARDOI",8.5395,3.5973,350.1138,2.3738,0.0181,0.2903
"Female: Tetraplegia: AIS A","Intercept",27.6637,3.9357,178.7915,7.0289,0,0
"","Age",-6.0363,5.8409,173.3798,-1.0335,0.3028,4.8453
"","Time",-0.5741,2.1026,266.1796,-0.273,0.785,12.5606
"","YEARDOI",7.3379,4.9987,185.2375,1.468,0.1438,2.301
"","Time*YEARDOI",3.9298,4.3784,274.1609,0.8975,0.3702,5.9235
"Female: Tetraplegia: AIS B","Intercept",45.4027,7.3196,93.5303,6.2029,0,0
"","Age",8.0033,11.1643,84.1268,0.7169,0.4754,7.6071
"","Time",4.9883,7.4379,92.9022,0.6707,0.5041,8.0656
"","YEARDOI",-11.7979,8.8953,104.4352,-1.3263,0.1876,3.0021
"","Time*YEARDOI",3.6352,13.9282,104.6484,0.261,0.7946,12.7138
"Female: Tetraplegia: AIS C","Intercept",63.9491,6.4871,215.2242,9.8579,0,0
"","Age",2.6198,8.4773,190.7624,0.309,0.7576,12.122
"","Time",-4.8902,7.3833,170.8543,-0.6623,0.5087,8.1385
"","YEARDOI",-17.3832,7.6591,229.6346,-2.2696,0.0242,0.3866
"","Time*YEARDOI",6.6417,12.7713,174.4369,0.52,0.6037,9.659
"Female: Tetraplegia: AIS D","Intercept",84.8241,5.2244,389.1475,16.2361,0,0
"","Age",-4.9575,6.552,338.5743,-0.7566,0.4498,7.1967
"","Time",0.728,4.149,549.5906,0.1755,0.8608,13.7724
"","YEARDOI",-10.666,5.6423,439.7435,-1.8904,0.0594,0.9499
"","Time*YEARDOI",9.2329,6.7352,555.9039,1.3708,0.171,2.7356
"Male: Paraplegia: AIS A","Intercept",64.3917,1.4591,993.2377,44.1318,0,0
"","Age",1.6719,2.6934,979.2179,0.6207,0.5349,8.5587
"","Time",-0.4467,0.5287,1720.8506,-0.8449,0.3983,6.3722
"","YEARDOI",-3.5305,1.9827,1004.3805,-1.7807,0.0753,1.2042
"","Time*YEARDOI",2.0011,0.952,1724.4042,2.1021,0.0357,0.5711
"Male: Paraplegia: AIS B","Intercept",81.8627,2.8734,377.9863,28.4903,0,0
"","Age",6.906,4.8757,343.5257,1.4164,0.1576,2.521
"","Time",-2.2856,2.3854,282.7811,-0.9582,0.3388,5.4208
"","YEARDOI",-10.7083,3.7864,390.0867,-2.8281,0.0049,0.0788
"","Time*YEARDOI",5.9345,4.3368,289.8059,1.3684,0.1722,2.756
"Male: Paraplegia: AIS C","Intercept",94.3169,2.3347,519.8742,40.3981,0,0
"","Age",-11.118,3.6123,436.7587,-3.0778,0.0022,0.0355
"","Time",-8.0254,2.3787,414.6291,-3.3738,8e-04,0.013
"","YEARDOI",-7.6028,3.0996,551.3306,-2.4528,0.0145,0.2317
"","Time*YEARDOI",16.468,4.3859,409.0596,3.7547,2e-04,0.0032
"Male: Paraplegia: AIS D","Intercept",104.9414,1.8345,726.4022,57.2056,0,0
"","Age",-14.6915,2.7436,623.5758,-5.3548,0,0
"","Time",-2.8965,1.4242,843.8356,-2.0338,0.0423,0.6766
"","YEARDOI",-7.7806,2.3455,785.8211,-3.3173,0.001,0.0152
"","Time*YEARDOI",8.355,2.3984,881.598,3.4836,5e-04,0.0083
"Male: Tetraplegia: AIS A","Intercept",23.4475,1.5816,757.5145,14.8252,0,0
"","Age",5.6621,2.4681,719.268,2.2941,0.0221,0.3531
"","Time",1.8126,1.2159,1087.5944,1.4908,0.1363,2.1808
"","YEARDOI",-1.2674,2.1413,787.5973,-0.5919,0.5541,8.8654
"","Time*YEARDOI",-0.3894,2.1729,1102.9871,-0.1792,0.8578,13.725
"Male: Tetraplegia: AIS B","Intercept",41.5471,3.2858,465.3419,12.6443,0,0
"","Age",-3.1041,5.1748,371.9607,-0.5999,0.549,8.7835
"","Time",-3.9414,3.8812,461.9308,-1.0155,0.3104,4.9663
"","YEARDOI",-9.1406,4.7003,481.6367,-1.9447,0.0524,0.8383
"","Time*YEARDOI",13.3219,6.8967,466.5174,1.9316,0.054,0.8641
"Male: Tetraplegia: AIS C","Intercept",58.6993,3.5872,694.8216,16.3636,0,0
"","Age",-2.2073,4.9558,604.9282,-0.4454,0.6562,10.4991
"","Time",2.5241,5.5955,549.8372,0.4511,0.6521,10.4336
"","YEARDOI",-13.7177,4.4862,726.4047,-3.0578,0.0023,0.037
"","Time*YEARDOI",6.0694,9.1419,569.7927,0.6639,0.507,8.1123
"Male: Tetraplegia: AIS D","Intercept",85.9295,2.5894,1287.3398,33.185,0,0
"","Age",-2.8267,3.6302,1107.0956,-0.7787,0.4363,6.9815
"","Time",-0.141,2.266,1886.6488,-0.0622,0.9504,15.2061
"","YEARDOI",-14.3903,3.2193,1435.8406,-4.47,0,1e-04
"","Time*YEARDOI",5.9849,3.8437,1955.8313,1.5571,0.1196,1.9139
