"Model","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"Female: Paraplegia: AIS A","Intercept",69.9549,3.1361,230.2239,22.3063,0,0
"","Age",-3.7019,4.8698,223.9625,-0.7602,0.4479,7.1671
"","Time",1.2369,1.2489,462.0632,0.9904,0.3225,5.1596
"","YEARDOI",-2.2236,4.1568,233.4219,-0.5349,0.5932,9.4914
"","Time*YEARDOI",2.9194,2.2048,463.9383,1.3241,0.1861,2.9779
"Female: Paraplegia: AIS B","Intercept",96.26,4.217,75.9748,22.8268,0,0
"","Age",-13.3613,6.849,73.0865,-1.9508,0.0549,0.8786
"","Time",0.3732,2.257,158.2502,0.1653,0.8689,13.9022
"","YEARDOI",-0.2966,5.1398,78.9218,-0.0577,0.9541,15.2662
"","Time*YEARDOI",3.5376,4.0095,160.5513,0.8823,0.3789,6.0629
"Female: Paraplegia: AIS C","Intercept",104.4932,3.0277,105.5557,34.5123,0,0
"","Age",-8.8879,4.1665,96.943,-2.1332,0.0354,0.5669
"","Time",2.2706,2.4159,215.0249,0.9399,0.3483,5.5733
"","YEARDOI",-10.356,3.7669,114.2285,-2.7492,0.0069,0.1111
"","Time*YEARDOI",4.4567,4.2987,218.947,1.0368,0.301,4.8158
"Female: Paraplegia: AIS D","Intercept",106.8099,2.9006,151.4483,36.8229,0,0
"","Age",-7.0485,3.5738,139.2525,-1.9723,0.0506,0.809
"","Time",-2.6756,2.3264,244.6747,-1.1501,0.2512,4.0197
"","YEARDOI",-6.9139,3.447,160.8332,-2.0058,0.0466,0.7449
"","Time*YEARDOI",11.0715,4.0883,260.407,2.7081,0.0072,0.1155
"Female: Tetraplegia: AIS A","Intercept",28.0804,4.4805,166.778,6.2672,0,0
"","Age",3.0627,6.6677,152.6581,0.4593,0.6466,10.3463
"","Time",2.0889,3.5815,355.1775,0.5832,0.5601,8.9617
"","YEARDOI",6.9746,5.9578,179.0168,1.1707,0.2433,3.8926
"","Time*YEARDOI",19.3522,6.8652,365.393,2.8189,0.0051,0.0813
"Female: Tetraplegia: AIS B","Intercept",81.3909,7.6436,68.7972,10.6483,0,0
"","Age",-13.0245,12.2332,61.4199,-1.0647,0.2912,4.659
"","Time",0.2826,5.5518,145.6664,0.0509,0.9595,15.3516
"","YEARDOI",-20.543,8.9754,73.3784,-2.2888,0.025,0.3995
"","Time*YEARDOI",25.051,10.5218,147.0489,2.3809,0.0186,0.2968
"Female: Tetraplegia: AIS C","Intercept",76.576,5.2786,135.733,14.507,0,0
"","Age",6.4992,6.7732,120.3314,0.9595,0.3392,5.4274
"","Time",11.3592,4.5705,276.8018,2.4853,0.0135,0.2166
"","YEARDOI",-7.7647,6.3584,157.7562,-1.2212,0.2238,3.5815
"","Time*YEARDOI",-5.351,8.1442,289.1684,-0.657,0.5117,8.1869
"Female: Tetraplegia: AIS D","Intercept",87.4404,4.6786,243.7319,18.6895,0,0
"","Age",-1.6756,5.6703,227.7305,-0.2955,0.7679,12.2861
"","Time",1.5615,3.8429,400.9559,0.4063,0.6847,10.9553
"","YEARDOI",6.0674,4.6926,261.4513,1.293,0.1972,3.1546
"","Time*YEARDOI",6.8313,5.9561,405.1462,1.1469,0.2521,4.0334
"Male: Paraplegia: AIS A","Intercept",65.3187,1.6042,915.2196,40.7169,0,0
"","Age",3.0443,2.9588,900.6985,1.0289,0.3038,4.8607
"","Time",2.0602,0.5826,1997.4244,3.5362,4e-04,0.0066
"","YEARDOI",-1.668,2.1616,930.2287,-0.7717,0.4405,7.0481
"","Time*YEARDOI",0.5197,1.0562,2004.3591,0.4921,0.6227,9.9635
"Male: Paraplegia: AIS B","Intercept",89.8875,3.1071,214.7338,28.9299,0,0
"","Age",7.2253,5.0249,206.0071,1.4379,0.152,2.4317
"","Time",0.9327,1.5686,462.2145,0.5946,0.5524,8.8381
"","YEARDOI",-8.3816,3.9972,220.9951,-2.0969,0.0371,0.5943
"","Time*YEARDOI",4.263,2.8405,465.0018,1.5008,0.1341,2.1454
"Male: Paraplegia: AIS C","Intercept",94.8989,2.1808,290.9033,43.5156,0,0
"","Age",-0.6175,3.2794,256.0735,-0.1883,0.8508,13.6126
"","Time",-0.2962,1.8019,576.1154,-0.1644,0.8695,13.9116
"","YEARDOI",-0.4315,2.8585,311.6502,-0.151,0.8801,14.0818
"","Time*YEARDOI",8.6976,3.0154,576.8163,2.8844,0.0041,0.0651
"Male: Paraplegia: AIS D","Intercept",104.2965,1.4595,385.1853,71.4586,0,0
"","Age",-5.7509,2.2056,355.0506,-2.6074,0.0095,0.1521
"","Time",-0.5337,1.2638,589.1019,-0.4223,0.673,10.7674
"","YEARDOI",-1.7364,1.7857,407.984,-0.9724,0.3314,5.3029
"","Time*YEARDOI",5.2501,2.1519,614.3304,2.4398,0.015,0.2396
"Male: Tetraplegia: AIS A","Intercept",25.0988,2.081,694.3319,12.0609,0,0
"","Age",14.356,3.218,624.8031,4.4611,0,2e-04
"","Time",12.8578,1.8482,1416.5414,6.9569,0,0
"","YEARDOI",1.3398,2.848,746.3959,0.4704,0.6382,10.2108
"","Time*YEARDOI",-3.6946,3.2854,1442.2183,-1.1245,0.261,4.1756
"Male: Tetraplegia: AIS B","Intercept",64.1102,4.1474,251.3327,15.4579,0,0
"","Age",1.9449,6.7447,227.1278,0.2884,0.7733,12.3734
"","Time",9.1775,3.8664,537.3568,2.3736,0.018,0.2874
"","YEARDOI",-3.8665,5.7743,267.5474,-0.6696,0.5037,8.059
"","Time*YEARDOI",8.9821,7.0682,543.4612,1.2708,0.2044,3.2696
"Male: Tetraplegia: AIS C","Intercept",78.0461,3.3062,445.4117,23.6061,0,0
"","Age",-3.5497,4.4835,402.0889,-0.7917,0.429,6.8638
"","Time",4.7549,2.9511,894.8008,1.6112,0.1075,1.7197
"","YEARDOI",-2.9067,3.9065,489.3887,-0.7441,0.4572,7.315
"","Time*YEARDOI",12.9526,4.9991,912.9715,2.591,0.0097,0.1556
"Male: Tetraplegia: AIS D","Intercept",89.2339,2.245,792.4256,39.7476,0,0
"","Age",4.7281,3.2558,728.8949,1.4522,0.1469,2.3499
"","Time",4.2062,2.0934,1437.2079,2.0093,0.0447,0.7151
"","YEARDOI",-1.8258,2.6566,868.1886,-0.6873,0.4921,7.8736
"","Time*YEARDOI",-2.1189,3.534,1476.7521,-0.5996,0.5489,8.7821
