"Model","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"Female: Paraplegia: AIS A","Intercept",52.9828,1.7368,247.776,30.5054,0,0
"","Age",-3.1793,2.662,228.8385,-1.1943,0.2336,3.7374
"","Time",2.6424,1.1763,478.4103,2.2463,0.0251,0.4022
"","YEARDOI",1.9177,2.3161,257.5421,0.828,0.4084,6.5351
"","Time*YEARDOI",-1.3486,2.0732,483.6807,-0.6505,0.5157,8.2511
"Female: Paraplegia: AIS B","Intercept",65.2334,4.6497,74.3155,14.0298,0,0
"","Age",-12.5078,7.4933,71.4737,-1.6692,0.0995,1.5912
"","Time",11.7803,2.5506,156.9404,4.6186,0,1e-04
"","YEARDOI",1.5481,5.6611,77.3902,0.2735,0.7852,12.5636
"","Time*YEARDOI",1.6687,4.5153,159.1362,0.3696,0.7122,11.395
"Female: Paraplegia: AIS C","Intercept",72.0284,3.216,114.3994,22.3969,0,0
"","Age",-4.3819,4.3003,100.4079,-1.019,0.3107,4.9706
"","Time",21.3267,3.2071,222.0605,6.6499,0,0
"","YEARDOI",-6.5713,4.0652,128.5659,-1.6165,0.1084,1.7351
"","Time*YEARDOI",-3.5873,5.6909,227.5453,-0.6304,0.5291,8.4655
"Female: Paraplegia: AIS D","Intercept",87.8982,2.0623,159.8858,42.6219,0,0
"","Age",-3.9481,2.4767,137.7462,-1.5941,0.1132,1.8112
"","Time",9.0025,2.2575,262.0815,3.9878,1e-04,0.0014
"","YEARDOI",4.8328,2.4806,177.9187,1.9482,0.053,0.8473
"","Time*YEARDOI",-1.3266,3.8549,283.4769,-0.3441,0.731,11.696
"Female: Tetraplegia: AIS A","Intercept",24.2371,4.5241,163.6857,5.3573,0,0
"","Age",-9.8501,6.7792,156.7493,-1.453,0.1482,2.3716
"","Time",10.5074,2.497,355.4521,4.2079,0,5e-04
"","YEARDOI",5.133,5.9054,169.1366,0.8692,0.386,6.1755
"","Time*YEARDOI",5.3023,4.7779,360.0542,1.1098,0.2678,4.2855
"Female: Tetraplegia: AIS B","Intercept",22.6036,6.4303,69.7348,3.5152,8e-04,0.0124
"","Age",3.6104,10.18,59.7983,0.3547,0.7241,11.5855
"","Time",15.6312,5.3564,147.1112,2.9182,0.0041,0.0652
"","YEARDOI",-2.5306,7.589,75.9969,-0.3335,0.7397,11.8353
"","Time*YEARDOI",28.0977,10.1455,149.0103,2.7695,0.0063,0.1013
"Female: Tetraplegia: AIS C","Intercept",46.119,4.5209,156.6251,10.2013,0,0
"","Age",-8.1471,5.6986,129.5684,-1.4297,0.1552,2.4835
"","Time",33.5252,5.097,300.0486,6.5774,0,0
"","YEARDOI",-5.5922,5.5517,190.0801,-1.0073,0.3151,5.0411
"","Time*YEARDOI",7.4925,8.9044,313.693,0.8414,0.4007,6.4118
"Female: Tetraplegia: AIS D","Intercept",78.8113,3.3848,244.1592,23.2841,0,0
"","Age",-12.6936,4.0495,226.7363,-3.1346,0.0019,0.0312
"","Time",20.7432,3.138,411.7721,6.6103,0,0
"","YEARDOI",6.6133,3.4324,267.8089,1.9267,0.0551,0.8812
"","Time*YEARDOI",-4.149,4.9018,424.1866,-0.8464,0.3978,6.3646
"Male: Paraplegia: AIS A","Intercept",51.9813,0.9724,914.1063,53.4582,0,0
"","Age",1.2667,1.7887,890.6795,0.7081,0.479,7.6646
"","Time",2.702,0.448,2004.9295,6.031,0,0
"","YEARDOI",1.6542,1.3148,937.9925,1.2581,0.2087,3.3385
"","Time*YEARDOI",-0.0916,0.8116,2015.8323,-0.1129,0.9101,14.562
"Male: Paraplegia: AIS B","Intercept",55.948,2.6615,219.8974,21.0213,0,0
"","Age",3.9352,4.2473,199.6152,0.9265,0.3553,5.6848
"","Time",9.7737,2.0079,468.974,4.8677,0,0
"","YEARDOI",2.1255,3.454,234.1031,0.6154,0.5389,8.6226
"","Time*YEARDOI",8.7299,3.6242,475.4051,2.4088,0.0164,0.2622
"Male: Paraplegia: AIS C","Intercept",68.8862,1.996,319.9582,34.5114,0,0
"","Age",-4.5116,2.9228,255.2176,-1.5436,0.1239,1.9829
"","Time",16.287,2.2024,609.4663,7.3952,0,0
"","YEARDOI",-1.9088,2.6484,357.8143,-0.7208,0.4715,7.5445
"","Time*YEARDOI",7.2849,3.6735,613.1137,1.9831,0.0478,0.7648
"Male: Paraplegia: AIS D","Intercept",91.1858,1.201,380.4765,75.9237,0,0
