"Model","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"Female: Paraplegia: AIS A","Intercept",70.1074,3.0443,230.8077,23.0291,0,0
"","Age",-5.5695,4.7303,225.1077,-1.1774,0.2403,3.8445
"","Time",-0.634,1.1563,459.8065,-0.5483,0.5838,9.34
"","YEARDOI",-4.393,4.032,233.7554,-1.0896,0.277,4.4325
"","Time*YEARDOI",3.9709,2.0442,461.577,1.9425,0.0527,0.843
"Female: Paraplegia: AIS B","Intercept",94.9572,5.8364,74.1472,16.2697,0,0
"","Age",-21.4337,9.5022,72.0309,-2.2557,0.0271,0.4341
"","Time",-0.8006,2.7154,156.389,-0.2949,0.7685,12.296
"","YEARDOI",-8.5977,7.097,76.3006,-1.2115,0.2295,3.6713
"","Time*YEARDOI",9.0751,4.8283,158.1741,1.8796,0.062,0.9921
"Female: Paraplegia: AIS C","Intercept",106.4336,3.8821,100.3267,27.4168,0,0
"","Age",-13.561,5.3607,93.321,-2.5297,0.0131,0.2095
"","Time",2.8367,2.8289,208.9954,1.0028,0.3171,5.0742
"","YEARDOI",-19.3537,4.8118,107.1096,-4.0221,1e-04,0.0017
"","Time*YEARDOI",2.4261,5.0333,212.3656,0.482,0.6303,10.0848
"Female: Paraplegia: AIS D","Intercept",111.8059,4.0827,148.7852,27.3855,0,0
"","Age",-19.606,5.063,140.0405,-3.8724,2e-04,0.0026
"","Time",-2.5738,2.7782,238.5599,-0.9264,0.3552,5.6827
"","YEARDOI",-11.9025,4.8291,155.4693,-2.4648,0.0148,0.2368
"","Time*YEARDOI",10.7473,4.909,250.4945,2.1893,0.0295,0.472
"Female: Tetraplegia: AIS A","Intercept",28.9282,4.1893,163.0741,6.9053,0,0
"","Age",-4.5056,6.2401,149.7566,-0.722,0.4714,7.5424
"","Time",-0.6536,3.286,351.0497,-0.1989,0.8425,13.4794
"","YEARDOI",1.6535,5.5664,174.6371,0.297,0.7668,12.2686
"","Time*YEARDOI",14.1342,6.3171,361.5026,2.2375,0.0259,0.4138
"Female: Tetraplegia: AIS B","Intercept",58.9067,9.1296,72.0716,6.4523,0,0
"","Age",-6.7279,14.5488,63.463,-0.4624,0.6454,10.3256
"","Time",9.6593,7.0872,148.5027,1.3629,0.175,2.7995
"","YEARDOI",-17.1246,10.7461,77.5052,-1.5936,0.1151,1.8417
"","Time*YEARDOI",3.4854,13.4264,150.0454,0.2596,0.7955,12.7286
"Female: Tetraplegia: AIS C","Intercept",66.1838,7.3989,137.5999,8.9451,0,0
"","Age",4.6834,9.5675,126.3686,0.4895,0.6253,10.0052
"","Time",13.6895,5.6682,272.2415,2.4151,0.0164,0.2622
"","YEARDOI",-17.5649,8.8629,153.6637,-1.9818,0.0493,0.7885
"","Time*YEARDOI",-0.0161,10.1891,278.5037,-0.0016,0.9987,15.9798
"Female: Tetraplegia: AIS D","Intercept",87.0899,6.5426,240.8431,13.3113,0,0
"","Age",-8.1442,7.9486,227.2398,-1.0246,0.3066,4.9063
"","Time",1.5568,5.0295,394.3744,0.3095,0.7571,12.1132
"","YEARDOI",-4.5892,6.5466,256.2142,-0.701,0.4839,7.7429
"","Time*YEARDOI",12.0192,7.8437,398.6875,1.5323,0.1262,2.0197
