"Model","n","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"Female: Paraplegia: AIS A",227,"Intercept",104.9842,4.7144,230.1565,22.2686,0,0
"",227,"Age",-5.6355,7.3203,223.8481,-0.7698,0.4422,7.0752
"",227,"Time",1.5628,1.8844,461.9897,0.8293,0.4074,6.5177
"",227,"YEARDOI",-3.1861,6.2491,233.3784,-0.5099,0.6106,9.7702
"",227,"Time*YEARDOI",4.7165,3.3268,463.8791,1.4177,0.1569,2.5111
"Female: Paraplegia: AIS B",75,"Intercept",145.222,6.282,75.8913,23.1173,0,0
"",75,"Age",-21.2044,10.199,72.8878,-2.0791,0.0411,0.6581
"",75,"Time",0.4398,3.425,158.1901,0.1284,0.898,14.3679
"",75,"YEARDOI",-1.5461,7.6596,78.9576,-0.2019,0.8405,13.4487
"",75,"Time*YEARDOI",6.0299,6.0834,160.575,0.9912,0.3231,5.1692
"Female: Paraplegia: AIS C",98,"Intercept",156.1512,4.5491,106.3499,34.326,0,0
"",98,"Age",-13.1708,6.2554,97.4002,-2.1055,0.0378,0.6051
"",98,"Time",3.7747,3.6886,215.7561,1.0233,0.3073,4.9167
"",98,"YEARDOI",-14.3507,5.6635,115.3696,-2.5339,0.0126,0.2019
"",98,"Time*YEARDOI",5.9973,6.5624,219.7773,0.9139,0.3618,5.7884
"Female: Paraplegia: AIS D",139,"Intercept",161.17,4.3145,151.2171,37.355,0,0
"",139,"Age",-11.5605,5.3144,138.8849,-2.1753,0.0313,0.5008
"",139,"Time",-4.0428,3.4806,244.6293,-1.1615,0.2466,3.945
"",139,"YEARDOI",-10.8648,5.1282,160.7124,-2.1187,0.0357,0.5705
"",139,"Time*YEARDOI",16.9781,6.1152,260.5353,2.7764,0.0059,0.0943
"Female: Tetraplegia: AIS A",158,"Intercept",42.0088,6.7147,166.46,6.2562,0,0
"",158,"Age",4.3028,9.9865,151.9575,0.4309,0.6672,10.6749
"",158,"Time",2.9989,5.4351,354.9302,0.5518,0.5815,9.3034
"",158,"YEARDOI",10.376,8.9328,179.0327,1.1616,0.247,3.9513
"",158,"Time*YEARDOI",29.7874,10.4162,365.3788,2.8597,0.0045,0.0717
"Female: Tetraplegia: AIS B",65,"Intercept",122.7878,11.3982,69.1032,10.7725,0,0
"",65,"Age",-21.7798,18.2282,61.5226,-1.1948,0.2367,3.7878
"",65,"Time",1.9752,8.3849,145.9352,0.2356,0.8141,13.0256
"",65,"YEARDOI",-30.1273,13.39,73.8272,-2.25,0.0274,0.4389
"",65,"Time*YEARDOI",33.2042,15.8898,147.3512,2.0897,0.0384,0.6139
"Female: Tetraplegia: AIS C",137,"Intercept",114.748,7.9605,135.8786,14.4147,0,0
"",137,"Age",9.6395,10.2154,120.5156,0.9436,0.3473,5.556
"",137,"Time",16.9106,6.8831,276.9075,2.4568,0.0146,0.2341
"",137,"YEARDOI",-11.6058,9.588,157.8548,-1.2105,0.2279,3.6466
"",137,"Time*YEARDOI",-6.8741,12.2654,289.2415,-0.5604,0.5756,9.2097
"Female: Tetraplegia: AIS D",223,"Intercept",129.9744,7.1122,244.6499,18.2749,0,0
"",223,"Age",-1.3158,8.6163,228.2503,-0.1527,0.8788,14.0602
"",223,"Time",2.7445,5.9027,402.1349,0.465,0.6422,10.2754
"",223,"YEARDOI",9.3842,7.1363,262.7678,1.315,0.1897,3.0345
"",223,"Time*YEARDOI",9.9303,9.148,406.393,1.0855,0.2783,4.4534
"Male: Paraplegia: AIS A",905,"Intercept",98.0787,2.4022,915.2961,40.828,0,0
"",905,"Age",4.4119,4.4303,900.5396,0.9958,0.3196,5.1135
"",905,"Time",3.0519,0.8793,1997.5648,3.471,5e-04,0.0085
"",905,"YEARDOI",-2.6294,3.2371,930.5413,-0.8123,0.4168,6.6693
"",905,"Time*YEARDOI",1.0811,1.5939,2004.6057,0.6782,0.4977,7.9631
"Male: Paraplegia: AIS B",209,"Intercept",135.0353,4.6365,215.01,29.1244,0,0
