"Model","n","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"Female: Paraplegia: AIS A",228,"Intercept",50,0,0,627360652712048,1,8
"",228,"Age",0,0,0,-5.7587,1,8
"",228,"Time",0,0,0,24.1728,1,8
"",228,"YEARDOI",0,0,0,10.9936,1,8
"",228,"Time*YEARDOI",0,0,0,-23.4118,1,8
"Female: Paraplegia: AIS B",76,"Intercept",50,0,0,6773112719515396,1,8
"",76,"Age",0,0,0,-7.8126,1,8
"",76,"Time",0,0,0,-0.6902,1,8
"",76,"YEARDOI",0,0,0,9.8041,1,8
"",76,"Time*YEARDOI",0,0,0,-1.7981,1,8
"Female: Paraplegia: AIS C",99,"Intercept",50,0,0,1941396490218859,1,8
"",99,"Age",0,0,0,2.2473,1,8
"",99,"Time",0,0,0,-13.5383,1,8
"",99,"YEARDOI",0,0,0,-2.2008,1,8
"",99,"Time*YEARDOI",0,0,0,7.3568,1,8
"Female: Paraplegia: AIS D",143,"Intercept",50,0,0,520576408070824,1,8
"",143,"Age",0,0,0,12.6237,1,8
"",143,"Time",0,0,0,-14.1813,1,8
"",143,"YEARDOI",0,0,0,-10.0474,1,8
"",143,"Time*YEARDOI",0,0,0,12.8328,1,8
"Female: Tetraplegia: AIS A",159,"Intercept",23.3536,3.674,157.7865,6.3564,0,0
"",159,"Age",-13.6012,5.5343,154.2939,-2.4576,0.0151,0.1207
"",159,"Time",8.6961,1.4655,348.8625,5.9337,0,0
"",159,"YEARDOI",6.7517,4.7768,160.4959,1.4134,0.1595,1.2758
"",159,"Time*YEARDOI",0.0074,2.8088,351.3869,0.0026,0.9979,7.9833
"Female: Tetraplegia: AIS B",65,"Intercept",20.8127,4.793,62.535,4.3423,1e-04,4e-04
"",65,"Age",2.0839,7.8128,59.8082,0.2667,0.7906,6.3248
"",65,"Time",10.183,2.1151,140.9596,4.8145,0,0
"",65,"YEARDOI",-2.8483,5.57,63.9838,-0.5114,0.6109,4.8868
"",65,"Time*YEARDOI",6.1818,4.0163,141.5068,1.5392,0.126,1.008
"Female: Tetraplegia: AIS C",137,"Intercept",27.1074,2.6149,133.4613,10.3665,0,0
"",137,"Age",-8.2071,3.3355,115.083,-2.4605,0.0154,0.1229
"",137,"Time",16.1664,2.5548,276.2462,6.3278,0,0
"",137,"YEARDOI",-1.7007,3.168,157.9558,-0.5368,0.5921,4.7371
"",137,"Time*YEARDOI",2.7902,4.4808,289.2431,0.6227,0.534,4.2717
"Female: Tetraplegia: AIS D",225,"Intercept",39.9034,1.9665,240.2697,20.2919,0,0
"",225,"Age",-7.093,2.3668,222.9071,-2.9968,0.003,0.0243
"",225,"Time",10.809,1.8187,411.3212,5.9432,0,0
"",225,"YEARDOI",0.6197,1.9863,264.0903,0.312,0.7553,6.0424
"",225,"Time*YEARDOI",-0.0737,2.8391,422.452,-0.026,0.9793,7.8343
"Male: Paraplegia: AIS A",906,"Intercept",50,0,0,760760527584896,1,8
"",906,"Age",0,0,0,2.0579,1,8
"",906,"Time",0,0,0,50.3862,1,8
"",906,"YEARDOI",0,0,0,23.7244,1,8
"",906,"Time*YEARDOI",0,0,0,-51.6112,1,8
"Male: Paraplegia: AIS B",209,"Intercept",50,0,0,842475469030435,1,8
"",209,"Age",0,0,0,8.7767,1,8
"",209,"Time",0,0,0,24.3692,1,8
"",209,"YEARDOI",0,0,0,15.2063,1,8
"",209,"Time*YEARDOI",0,0,0,-22.5651,1,8
"Male: Paraplegia: AIS C",264,"Intercept",50,0,0,944964053891407,1,8
"",264,"Age",0,0,0,-9.2191,1,8
"",264,"Time",0,0,0,-8.1962,1,8
"",264,"YEARDOI",0,0,0,15.899,1,8
"",264,"Time*YEARDOI",0,0,0,3.2722,1,8
"Male: Paraplegia: AIS D",361,"Intercept",50,0,0,917354106098548,1,8
"",361,"Age",0,0,0,8.166,1,8
"",361,"Time",0,0,0,-28.2727,1,8
"",361,"YEARDOI",0,0,0,-22.031,1,8
"",361,"Time*YEARDOI",0,0,0,24.9672,1,8
"Male: Tetraplegia: AIS A",636,"Intercept",15.2979,1.8162,637.8047,8.4228,0,0
