"","AIS","ExamStage_weeks","plegia","n","mean_TLT","sd_TLT"
"1","A",2,"para",591,65.341,15.721
"2","A",2,"tetra",415,27.655,17.045
"3","A",4,"para",901,65.139,15.92
"4","A",4,"tetra",611,29.369,17.028
"5","A",12,"para",796,64.406,15.318
"6","A",12,"tetra",549,30.859,17.367
"7","A",26,"para",571,62.797,15.157
"8","A",26,"tetra",399,29.282,15.584
"9","A",52,"para",514,62.92,15.232
"10","A",52,"tetra",277,29.26,14.541
"11","B",2,"para",159,87.551,15.241
"12","B",2,"tetra",151,58.8,21.87
"13","B",4,"para",218,88.13,15.338
"14","B",4,"tetra",238,59.923,21.186
"15","B",12,"para",175,85.299,16.36
"16","B",12,"tetra",206,60.426,21.636
"17","B",26,"para",117,85.026,16.622
"18","B",26,"tetra",158,59.475,21.123
"19","B",52,"para",103,88.49,13.964
"20","B",52,"tetra",129,58.539,19.972
"21","C",2,"para",184,93.022,11.988
"22","C",2,"tetra",315,69.443,22.444
"23","C",4,"para",303,93.956,12.4
"24","C",4,"tetra",425,73.959,22.299
"25","C",12,"para",246,94,12.927
"26","C",12,"tetra",299,73.576,22.14
"27","C",26,"para",172,92.686,12.521
"28","C",26,"tetra",179,71.226,21.835
"29","C",52,"para",124,91.621,12.797
"30","C",52,"tetra",106,70.096,19.8
"31","D",2,"para",231,99.342,10.429
"32","D",2,"tetra",534,87.375,20.909
"33","D",4,"para",437,99.806,10.188
"34","D",4,"tetra",917,89.992,20.046
"35","D",12,"para",518,99.729,10.459
"36","D",12,"tetra",914,90.803,19.256
"37","D",26,"para",359,100.351,10.403
"38","D",26,"tetra",682,89.4,19.506
"39","D",52,"para",418,100.267,9.979
"40","D",52,"tetra",663,87.765,20.095
