,AIS,ExamStage_weeks,plegia,n,mean_TPP,sd_TPP,
1,A,2,para,591,63.784,15.764,63.784 (15.764); n=591
3,A,4,para,901,63.205,15.764,63.205 (15.764); n=901
5,A,12,para,796,62.457,15.213,62.457 (15.213); n=796
7,A,26,para,571,61.126,15.011,61.126 (15.011); n=571
9,A,52,para,514,61.146,14.931,61.146 (14.931); n=514
11,B,2,para,159,81.761,18.33,81.761 (18.33); n=159
13,B,4,para,218,78.93,19.409,78.93 (19.409); n=218
15,B,12,para,175,77.362,19.097,77.362 (19.097); n=175
17,B,26,para,117,78.293,17.734,78.293 (17.734); n=117
19,B,52,para,103,80.794,17.063,80.794 (17.063); n=103
21,C,2,para,184,86.966,15.886,86.966 (15.886); n=184
23,C,4,para,303,88.067,15.405,88.067 (15.405); n=303
25,C,12,para,246,86.248,16.086,86.248 (16.086); n=246
27,C,26,para,172,85.43,15.996,85.43 (15.996); n=172
29,C,52,para,124,82.218,18.005,82.218 (18.005); n=124
31,D,2,para,231,95.996,14.781,95.996 (14.781); n=231
33,D,4,para,437,94.807,15.814,94.807 (15.814); n=437
35,D,12,para,518,94.909,15.321,94.909 (15.321); n=518
37,D,26,para,359,95.921,14.439,95.921 (14.439); n=359
39,D,52,para,418,95.302,14.285,95.302 (14.285); n=418
2,A,2,tetra,415,23.474,14.758,23.474 (14.758); n=415
4,A,4,tetra,611,24.18,15.228,24.18 (15.228); n=611
6,A,12,tetra,549,25.068,15.571,25.068 (15.571); n=549
8,A,26,tetra,399,24.013,14.317,24.013 (14.317); n=399
10,A,52,tetra,277,23.635,13.611,23.635 (13.611); n=277
12,B,2,tetra,151,39.707,24.081,39.707 (24.081); n=151
14,B,4,tetra,238,36.094,22.586,36.094 (22.586); n=238
16,B,12,tetra,206,37.282,23.192,37.282 (23.192); n=206
18,B,26,tetra,158,37.567,23.211,37.567 (23.211); n=158
20,B,52,tetra,129,36.57,21.141,36.57 (21.141); n=129
22,C,2,tetra,315,52.476,28.631,52.476 (28.631); n=315
24,C,4,tetra,425,52.391,29.128,52.391 (29.128); n=425
26,C,12,tetra,299,51.851,27.617,51.851 (27.617); n=299
28,C,26,tetra,179,50.661,27.445,50.661 (27.445); n=179
30,C,52,tetra,106,48.143,27.81,48.143 (27.81); n=106
32,D,2,tetra,534,76.611,28.905,76.611 (28.905); n=534
34,D,4,tetra,917,79.004,27.755,79.004 (27.755); n=917
36,D,12,tetra,914,79.477,26.616,79.477 (26.616); n=914
38,D,26,tetra,682,77.682,27.381,77.682 (27.381); n=682
40,D,52,tetra,663,76.365,27.123,76.365 (27.123); n=663
