,AIS,ExamStage_weeks,plegia,n,mean_TSS,sd_TSS,
1,A,2,para,591,98.014,23.579,98.014 (23.579); n=591
3,A,4,para,901,97.722,23.855,97.722 (23.855); n=901
5,A,12,para,796,96.658,22.973,96.658 (22.973); n=796
7,A,26,para,571,94.194,22.725,94.194 (22.725); n=571
9,A,52,para,514,94.405,22.747,94.405 (22.747); n=514
11,B,2,para,159,131.272,22.754,131.272 (22.754); n=159
13,B,4,para,218,132.195,22.942,132.195 (22.942); n=218
15,B,12,para,175,128.052,24.383,128.052 (24.383); n=175
17,B,26,para,117,127.362,24.971,127.362 (24.971); n=117
19,B,52,para,103,132.912,20.847,132.912 (20.847); n=103
21,C,2,para,184,139.47,18.418,139.47 (18.418); n=184
23,C,4,para,303,140.839,18.757,140.839 (18.757); n=303
25,C,12,para,246,140.878,19.498,140.878 (19.498); n=246
27,C,26,para,172,138.878,18.622,138.878 (18.622); n=172
29,C,52,para,124,137.315,19.096,137.315 (19.096); n=124
31,D,2,para,231,148.946,15.829,148.946 (15.829); n=231
33,D,4,para,437,149.667,15.419,149.667 (15.419); n=437
35,D,12,para,518,149.55,15.944,149.55 (15.944); n=518
37,D,26,para,359,150.593,15.628,150.593 (15.628); n=359
39,D,52,para,418,150.434,14.993,150.434 (14.993); n=418
2,A,2,tetra,415,41.477,25.537,41.477 (25.537); n=415
4,A,4,tetra,611,43.919,25.595,43.919 (25.595); n=611
6,A,12,tetra,549,46.145,26.064,46.145 (26.064); n=549
8,A,26,tetra,399,43.822,23.393,43.822 (23.393); n=399
10,A,52,tetra,277,43.881,21.798,43.881 (21.798); n=277
12,B,2,tetra,151,88.027,33,88.027 (33); n=151
14,B,4,tetra,238,89.765,31.909,89.765 (31.909); n=238
16,B,12,tetra,206,90.584,32.737,90.584 (32.737); n=206
18,B,26,tetra,158,89.171,31.582,89.171 (31.582); n=158
20,B,52,tetra,129,87.742,30.053,87.742 (30.053); n=129
22,C,2,tetra,315,104.44,33.82,104.44 (33.82); n=315
24,C,4,tetra,425,110.955,33.593,110.955 (33.593); n=425
26,C,12,tetra,299,110.19,33.565,110.19 (33.565); n=299
28,C,26,tetra,179,106.367,33.225,106.367 (33.225); n=179
30,C,52,tetra,106,105.442,30.121,105.442 (30.121); n=106
32,D,2,tetra,534,130.66,31.694,130.66 (31.694); n=534
34,D,4,tetra,917,134.86,30.255,134.86 (30.255); n=917
36,D,12,tetra,914,136.091,29.107,136.091 (29.107); n=914
38,D,26,tetra,682,134.129,29.421,134.129 (29.421); n=682
40,D,52,tetra,663,131.628,30.386,131.628 (30.386); n=663
