"Model","Variable","Estimate","Standard Error","t-value","p-value","Adjusted p-value"
"Paraplegia: AIS A","Intercept",27.986,1.686,16.602,0,0
"","YEARDOI",1.336,3.294,0.405,0.686,5.486
"Paraplegia: AIS B","Intercept",34.927,7.774,4.493,0.004,0.033
"","YEARDOI",-10.104,12.781,-0.791,0.459,3.674
"Paraplegia: AIS C","Intercept",33.167,7.481,4.434,0.001,0.008
"","YEARDOI",-2.083,12.743,-0.163,0.873,6.985
"Paraplegia: AIS D","Intercept",31.333,2.494,12.561,0.051,0.405
"","YEARDOI",0,5.774,0,1,8
"Tetraplegia: AIS A","Intercept",32.278,1.368,23.594,0,0
"","YEARDOI",0.812,2.552,0.318,0.751,6.005
"Tetraplegia: AIS B","Intercept",32.63,3.44,9.486,0,0
"","YEARDOI",3.068,6.527,0.47,0.64,5.119
"Tetraplegia: AIS C","Intercept",36.843,2.35,15.681,0,0
"","YEARDOI",-0.801,4.68,-0.171,0.864,6.915
"Tetraplegia: AIS D","Intercept",35.275,4.765,7.403,0,0
"","YEARDOI",3.186,11.911,0.267,0.791,6.33
