,AIS,Time,Plegia,n,mean_TPP,sd_TPP,
1,AIS A,0,para,,,,
3,AIS A,1,para,132,49.053,10.858,49.053 (10.858); n=132
5,AIS A,4,para,125,50.631,10.514,50.631 (10.514); n=125
7,AIS A,8,para,126,51.317,11.219,51.317 (11.219); n=126
9,AIS A,16,para,121,52.375,12.013,52.375 (12.013); n=121
11,AIS A,26,para,124,52.568,12.193,52.568 (12.193); n=124
13,AIS A,52,para,123,53.059,12.503,53.059 (12.503); n=123
15,AIS B,0,para,,,,
17,AIS B,1,para,8,67.625,10.555,67.625 (10.555); n=8
19,AIS B,4,para,8,75.714,11.324,75.714 (11.324); n=8
21,AIS B,8,para,8,87.429,17.453,87.429 (17.453); n=8
23,AIS B,16,para,6,93,13.565,93 (13.565); n=6
25,AIS B,26,para,7,94.857,12.469,94.857 (12.469); n=7
27,AIS B,52,para,7,97.286,12.539,97.286 (12.539); n=7
29,AIS C,0,para,,,,
31,AIS C,1,para,13,64.154,13.957,64.154 (13.957); n=13
33,AIS C,4,para,11,71.7,19.63,71.7 (19.63); n=11
35,AIS C,8,para,11,74.4,20.293,74.4 (20.293); n=11
37,AIS C,16,para,10,79.1,21.341,79.1 (21.341); n=10
39,AIS C,26,para,12,78,20.651,78 (20.651); n=12
41,AIS C,52,para,12,81.5,20.03,81.5 (20.03); n=12
43,AIS D,0,para,,,,
45,AIS D,1,para,3,62,10.536,62 (10.536); n=3
47,AIS D,4,para,3,90.667,24.379,90.667 (24.379); n=3
49,AIS D,8,para,3,91.667,21.939,91.667 (21.939); n=3
51,AIS D,16,para,3,94.667,19.858,94.667 (19.858); n=3
53,AIS D,26,para,3,95.667,16.258,95.667 (16.258); n=3
55,AIS D,52,para,3,100.667,8.737,100.667 (8.737); n=3
2,AIS A,0,tetra,,,,
4,AIS A,1,tetra,314,18.322,8.813,18.322 (8.813); n=314
6,AIS A,4,tetra,290,21.523,13.821,21.523 (13.821); n=290
8,AIS A,8,tetra,281,23.607,15.149,23.607 (15.149); n=281
10,AIS A,16,tetra,267,26.413,18.82,26.413 (18.82); n=267
12,AIS A,26,tetra,277,26.812,18.908,26.812 (18.908); n=277
14,AIS A,52,tetra,263,28.052,19.709,28.052 (19.709); n=263
16,AIS B,0,tetra,,,,
18,AIS B,1,tetra,69,34.232,17.619,34.232 (17.619); n=69
20,AIS B,4,tetra,63,52,27.621,52 (27.621); n=63
22,AIS B,8,tetra,60,54.982,29.088,54.982 (29.088); n=60
24,AIS B,16,tetra,60,58.069,30.166,58.069 (30.166); n=60
26,AIS B,26,tetra,62,60.138,30.098,60.138 (30.098); n=62
28,AIS B,52,tetra,56,62.963,29.914,62.963 (29.914); n=56
30,AIS C,0,tetra,,,,
32,AIS C,1,tetra,136,46.067,27.12,46.067 (27.12); n=136
34,AIS C,4,tetra,127,67.213,27.507,67.213 (27.507); n=127
36,AIS C,8,tetra,121,74.59,27.7,74.59 (27.7); n=121
38,AIS C,16,tetra,113,78.019,28.807,78.019 (28.807); n=113
40,AIS C,26,tetra,121,79.445,27.466,79.445 (27.466); n=121
42,AIS C,52,tetra,110,81.84,27.724,81.84 (27.724); n=110
44,AIS D,0,tetra,,,,
46,AIS D,1,tetra,28,69.179,26.031,69.179 (26.031); n=28
48,AIS D,4,tetra,24,78.125,18.889,78.125 (18.889); n=24
50,AIS D,8,tetra,26,84.923,18.249,84.923 (18.249); n=26
52,AIS D,16,tetra,26,90.909,15.181,90.909 (15.181); n=26
54,AIS D,26,tetra,26,93.923,12.809,93.923 (12.809); n=26
56,AIS D,52,tetra,25,90.913,17.876,90.913 (17.876); n=25
