,AIS,Time,Plegia,n,mean_UEMS,sd_UEMS,
1,AIS A,0,tetra,297,10.872,11.913,10.872 (11.913); n=297
2,AIS A,1,tetra,314,12.099,11.041,12.099 (11.041); n=314
3,AIS A,4,tetra,290,14.015,11.909,14.015 (11.909); n=290
4,AIS A,8,tetra,281,15.871,12.63,15.871 (12.63); n=281
5,AIS A,16,tetra,267,18.024,12.866,18.024 (12.866); n=267
6,AIS A,26,tetra,277,19.816,13.1,19.816 (13.1); n=277
7,AIS A,52,tetra,263,21.764,12.994,21.764 (12.994); n=263
8,AIS B,0,tetra,69,14.468,13.235,14.468 (13.235); n=69
9,AIS B,1,tetra,69,15.785,11.501,15.785 (11.501); n=69
10,AIS B,4,tetra,63,18.5,12.913,18.5 (12.913); n=63
11,AIS B,8,tetra,60,22.204,12.768,22.204 (12.768); n=60
12,AIS B,16,tetra,60,26.519,13.336,26.519 (13.336); n=60
13,AIS B,26,tetra,62,27.054,13.416,27.054 (13.416); n=62
14,AIS B,52,tetra,56,30.529,14.008,30.529 (14.008); n=56
15,AIS C,0,tetra,130,15.289,14.167,15.289 (14.167); n=130
16,AIS C,1,tetra,136,14.762,11.291,14.762 (11.291); n=136
17,AIS C,4,tetra,127,21.311,11.822,21.311 (11.822); n=127
18,AIS C,8,tetra,121,28.596,11.403,28.596 (11.403); n=121
19,AIS C,16,tetra,113,33.786,11.775,33.786 (11.775); n=113
20,AIS C,26,tetra,121,36.771,11.181,36.771 (11.181); n=121
21,AIS C,52,tetra,110,38.624,11.075,38.624 (11.075); n=110
22,AIS D,0,tetra,28,26.667,13.638,26.667 (13.638); n=28
23,AIS D,1,tetra,28,31.269,10.429,31.269 (10.429); n=28
24,AIS D,4,tetra,24,38.083,8.812,38.083 (8.812); n=24
25,AIS D,8,tetra,26,42.462,7.021,42.462 (7.021); n=26
26,AIS D,16,tetra,26,43.909,5.52,43.909 (5.52); n=26
27,AIS D,26,tetra,26,45.423,5.721,45.423 (5.721); n=26
28,AIS D,52,tetra,25,47.043,4.15,47.043 (4.15); n=25
