Model,n,Variable,Estimate,Standard Error,DF,t-value,p-value,Adjusted p-value
Female: Tetraplegia: AIS A,59,Intercept,16.815,4.142,57.624,4.059,0.000,0.001
,59,Age,-5.101,6.833,56.324,-0.747,0.459,3.668
,59,Time,9.156,0.945,288.125,9.689,0.000,0.000
,59,YEARDOI,-3.363,5.610,58.761,-0.599,0.551,4.410
,59,Time*YEARDOI,-1.438,1.769,288.106,-0.813,0.417,3.335
Female: Tetraplegia: AIS B,19,Intercept,21.414,6.684,18.457,3.204,0.005,0.038
,19,Age,-11.019,11.705,15.442,-0.941,0.361,2.888
,19,Time,5.825,3.927,81.377,1.484,0.142,1.134
,19,YEARDOI,-10.163,11.943,19.865,-0.851,0.405,3.239
,19,Time*YEARDOI,27.328,8.551,82.510,3.196,0.002,0.016
Female: Tetraplegia: AIS C,29,Intercept,17.130,3.698,33.835,4.632,0.000,0.000
,29,Age,-11.935,6.010,26.211,-1.986,0.058,0.461
,29,Time,29.186,2.549,141.350,11.451,0.000,0.000
,29,YEARDOI,3.083,6.317,41.871,0.488,0.628,5.024
,29,Time*YEARDOI,-1.297,5.788,140.900,-0.224,0.823,6.584
Female: Tetraplegia: AIS D,5,Intercept,29.421,8.268,1.888,3.558,0.077,0.615
,5,Age,-13.460,13.459,1.802,-1.000,0.432,3.459
,5,Time,28.951,2.605,22.194,11.113,0.000,0.000
,5,YEARDOI,2.094,13.005,2.142,0.161,0.886,7.088
,5,Time*YEARDOI,-25.083,6.769,21.921,-3.706,0.001,0.010
Male: Tetraplegia: AIS A,253,Intercept,15.919,1.707,266.949,9.327,0.000,0.000
,253,Age,-9.102,3.108,251.783,-2.928,0.004,0.030
,253,Time,9.069,0.636,1219.227,14.254,0.000,0.000
,253,YEARDOI,-4.248,2.445,277.576,-1.737,0.084,0.668
,253,Time*YEARDOI,2.141,1.164,1217.206,1.840,0.066,0.528
Male: Tetraplegia: AIS B,49,Intercept,26.170,4.605,51.885,5.684,0.000,0.000
,49,Age,-11.705,6.989,45.445,-1.675,0.101,0.807
,49,Time,12.430,2.338,237.283,5.316,0.000,0.000
,49,YEARDOI,-13.324,6.786,54.239,-1.963,0.055,0.438
,49,Time*YEARDOI,6.276,4.242,236.605,1.479,0.140,1.123
Male: Tetraplegia: AIS C,107,Intercept,17.164,2.899,122.063,5.921,0.000,0.000
,107,Age,-8.161,4.126,101.429,-1.978,0.051,0.405
,107,Time,26.474,1.761,489.094,15.032,0.000,0.000
,107,YEARDOI,0.104,4.169,133.218,0.025,0.980,7.842
,107,Time*YEARDOI,-0.018,3.313,488.768,-0.005,0.996,7.966
Male: Tetraplegia: AIS D,23,Intercept,32.743,3.568,31.816,9.177,0.000,0.000
,23,Age,-5.715,5.412,20.562,-1.056,0.303,2.426
,23,Time,23.041,3.174,114.173,7.259,0.000,0.000
,23,YEARDOI,3.351,7.353,43.452,0.456,0.651,5.207
,23,Time*YEARDOI,-12.778,8.581,116.395,-1.489,0.139,1.113
